,Unnamed: 0,Datetime,Open,High,Low,Close,Volume,ScripName,ScripCode,n_high,n_low,K,D,overbought_K,overbought_D,oversold_K,oversold_D,overbought,oversold,signal,signal_sanitized
0,0,2022-01-03T00:00:00,3383.0,3440.9,3383.0,3422.4,696276,ASIANPAINT,236,,,,,0,0,0,0,0,0,,0
1,1,2022-01-04T00:00:00,3434.0,3472.45,3415.05,3459.3,790886,ASIANPAINT,236,,,,,0,0,0,0,0,0,,0
2,2,2022-01-05T00:00:00,3470.0,3540.0,3452.05,3526.8,1024506,ASIANPAINT,236,,,,,0,0,0,0,0,0,,0
3,3,2022-01-06T00:00:00,3491.15,3537.55,3452.15,3514.65,1312743,ASIANPAINT,236,,,,,0,0,0,0,0,0,,0
4,4,2022-01-07T00:00:00,3514.65,3582.0,3496.55,3576.3,964364,ASIANPAINT,236,,,,,0,0,0,0,0,0,,0
5,5,2022-01-10T00:00:00,3580.0,3590.0,3527.0,3553.5,657511,ASIANPAINT,236,,,,,0,0,0,0,0,0,,0
6,6,2022-01-11T00:00:00,3550.6,3564.0,3495.05,3538.75,734344,ASIANPAINT,236,,,,,0,0,0,0,0,0,,0
7,7,2022-01-12T00:00:00,3556.9,3582.45,3534.0,3543.8,594543,ASIANPAINT,236,,,,,0,0,0,0,0,0,,0
8,8,2022-01-13T00:00:00,3560.0,3560.0,3450.0,3456.25,1153984,ASIANPAINT,236,,,,,0,0,0,0,0,0,,0
9,9,2022-01-14T00:00:00,3462.0,3462.0,3346.0,3364.4,1558978,ASIANPAINT,236,,,,,0,0,0,0,0,0,,0
10,10,2022-01-17T00:00:00,3364.4,3399.0,3321.0,3378.65,1103159,ASIANPAINT,236,,,,,0,0,0,0,0,0,,0
11,11,2022-01-18T00:00:00,3379.05,3396.45,3351.0,3373.7,558543,ASIANPAINT,236,,,,,0,0,0,0,0,0,,0
12,12,2022-01-19T00:00:00,3370.0,3370.0,3267.75,3280.4,1495218,ASIANPAINT,236,,,,,0,0,0,0,0,0,,0
13,13,2022-01-20T00:00:00,3282.0,3364.9,3222.0,3306.4,3075678,ASIANPAINT,236,3590.0,3222.0,22.934782608695677,,0,0,0,0,0,0,,0
14,14,2022-01-21T00:00:00,3300.05,3324.95,3241.75,3274.85,1441694,ASIANPAINT,236,3590.0,3222.0,14.361413043478237,,0,0,1,0,0,0,,0
15,15,2022-01-24T00:00:00,3268.0,3270.0,3135.0,3155.15,1575665,ASIANPAINT,236,3590.0,3135.0,4.428571428571448,13.908255693581788,0,0,1,1,0,1,-9.47968426501034,0
16,16,2022-01-25T00:00:00,3100.0,3156.95,3010.75,3147.1,2699779,ASIANPAINT,236,3590.0,3010.75,23.53905912818298,14.109681200077555,0,0,0,1,0,0,0.0,1
17,17,2022-01-27T00:00:00,3140.1,3143.0,3071.25,3116.95,1834684,ASIANPAINT,236,3590.0,3010.75,18.334052654294315,15.433894403682913,0,0,1,1,0,1,2.900158250611401,1
18,18,2022-01-28T00:00:00,3130.0,3170.0,3103.0,3110.85,892060,ASIANPAINT,236,3590.0,3010.75,17.280966767371584,19.718026183282962,0,0,1,1,0,1,-2.437059415911378,0
19,19,2022-01-31T00:00:00,3140.0,3193.45,3136.4,3152.25,944530,ASIANPAINT,236,3582.45,3010.75,24.750743396886488,20.121920939517462,0,0,0,0,0,0,0.0,1
20,20,2022-02-01T00:00:00,3194.0,3212.35,3141.6,3196.25,1008915,ASIANPAINT,236,3582.45,3010.75,32.44708763337416,24.82626593254408,0,0,0,0,0,0,0.0,1
21,21,2022-02-02T00:00:00,3204.8,3244.15,3192.15,3197.7,667265,ASIANPAINT,236,3560.0,3010.75,34.037323623122404,30.411718217794355,0,0,0,0,0,0,0.0,1
22,22,2022-02-03T00:00:00,3212.85,3241.6,3190.2,3203.0,899753,ASIANPAINT,236,3462.0,3010.75,42.60387811634349,36.362763124280015,0,0,0,0,0,0,0.0,1
23,23,2022-02-04T00:00:00,3188.0,3248.8,3176.05,3236.65,705765,ASIANPAINT,236,3399.0,3010.75,58.184159690920815,44.94178714346224,0,0,0,0,0,0,0.0,1
24,24,2022-02-07T00:00:00,3234.0,3251.2,3143.1,3174.7,860393,ASIANPAINT,236,3396.45,3010.75,42.50712989369974,47.76505590032135,0,0,0,0,0,0,-0.0,1
25,25,2022-02-08T00:00:00,3179.0,3223.5,3166.2,3216.35,799206,ASIANPAINT,236,3370.0,3010.75,57.23034098816978,52.64054352426345,0,0,0,0,0,0,0.0,1
26,26,2022-02-09T00:00:00,3230.0,3259.0,3222.75,3228.35,472725,ASIANPAINT,236,3364.9,3010.75,61.442891430184915,53.72678743735148,0,0,0,0,0,0,0.0,1
27,27,2022-02-10T00:00:00,3220.0,3248.0,3176.0,3238.75,728666,ASIANPAINT,236,3324.95,3010.75,72.56524506683645,63.74615916173038,0,0,0,0,0,0,0.0,1
28,28,2022-02-11T00:00:00,3229.95,3229.95,3182.5,3216.3,587840,ASIANPAINT,236,3270.0,3010.75,79.28640308582456,71.09817986094863,0,0,0,0,0,0,0.0,1
29,29,2022-02-14T00:00:00,3140.0,3182.7,3120.0,3143.45,681236,ASIANPAINT,236,3259.0,3010.75,53.45417925478341,68.43527580248148,0,0,0,0,0,0,-0.0,1
30,30,2022-02-15T00:00:00,3140.0,3270.0,3132.85,3264.6,676844,ASIANPAINT,236,3270.0,3071.25,97.2830188679245,76.6745337361775,1,0,0,0,0,0,0.0,1
31,31,2022-02-16T00:00:00,3280.0,3285.1,3223.0,3252.85,624320,ASIANPAINT,236,3285.1,3103.0,82.28995057660624,77.67571623310472,1,0,0,0,0,0,0.0,1
32,32,2022-02-17T00:00:00,3273.0,3294.95,3236.4,3265.85,636735,ASIANPAINT,236,3294.95,3120.0,83.36667619319809,87.64654854590962,1,1,0,0,1,0,-0.0,1
33,33,2022-02-18T00:00:00,3236.15,3272.0,3230.05,3258.45,423801,ASIANPAINT,236,3294.95,3120.0,79.13689625607314,81.59784100862582,0,1,0,0,0,0,-0.0,1
34,34,2022-02-21T00:00:00,3235.0,3278.45,3204.15,3251.65,547472,ASIANPAINT,236,3294.95,3120.0,75.25007144898555,79.25121463275227,0,0,0,0,0,0,-0.0,1
35,35,2022-02-22T00:00:00,3120.0,3236.8,3120.0,3227.15,1147209,ASIANPAINT,236,3294.95,3120.0,61.24607030580177,71.87767933695349,0,0,0,0,0,0,-0.0,1
36,36,2022-02-23T00:00:00,3236.9,3296.9,3230.0,3237.2,935896,ASIANPAINT,236,3296.9,3120.0,66.25211984171835,67.5827538655019,0,0,0,0,0,0,-0.0,1
37,37,2022-02-24T00:00:00,3130.0,3197.8,3051.5,3069.05,1823450,ASIANPAINT,236,3296.9,3051.5,7.151589242053861,44.88325979652467,0,0,1,0,0,0,-0.0,1
38,38,2022-02-25T00:00:00,3105.0,3141.45,3083.05,3119.2,1239456,ASIANPAINT,236,3296.9,3051.5,27.587612061939605,33.66377371523728,0,0,0,0,0,0,-0.0,1
39,39,2022-02-28T00:00:00,3090.0,3190.5,3015.0,3174.65,1678348,ASIANPAINT,236,3296.9,3015.0,56.633557999290545,30.45758643442801,0,0,0,0,0,0,0.0,1
40,40,2022-03-02T00:00:00,3107.0,3111.2,2991.1,3028.95,3014206,ASIANPAINT,236,3296.9,2991.1,12.377370830608204,32.19951363061279,0,0,1,0,0,0,-0.0,1
41,41,2022-03-03T00:00:00,3029.0,3051.0,2862.0,2871.9,4406840,ASIANPAINT,236,3296.9,2862.0,2.2763853759485144,23.76243806861576,0,0,1,0,0,0,-0.0,1
42,42,2022-03-04T00:00:00,2863.8,2863.8,2662.05,2738.15,6979253,ASIANPAINT,236,3296.9,2662.05,11.987083563046376,8.880279923201035,0,0,1,1,0,1,3.1068036398453405,1
43,43,2022-03-07T00:00:00,2649.9,2727.95,2599.35,2708.45,3233760,ASIANPAINT,236,3296.9,2599.35,15.640455881298815,9.967974940097905,0,0,1,1,0,1,5.672480941200909,1
44,44,2022-03-08T00:00:00,2690.0,2736.95,2638.0,2723.4,2611102,ASIANPAINT,236,3296.9,2599.35,17.783671421403504,15.137070288582903,0,0,1,1,0,1,2.646601132820601,1
45,45,2022-03-09T00:00:00,2750.0,2890.0,2665.05,2874.95,4076068,ASIANPAINT,236,3296.9,2599.35,39.509712565407476,24.3112799560366,0,0,0,0,0,0,0.0,1
46,46,2022-03-10T00:00:00,3000.0,3040.0,2891.2,2912.8,3971987,ASIANPAINT,236,3296.9,2599.35,44.93584689269589,34.07641029316896,0,0,0,0,0,0,0.0,1
47,47,2022-03-11T00:00:00,2917.0,2939.95,2882.35,2932.0,1265493,ASIANPAINT,236,3296.9,2599.35,47.68833775356605,44.044632403889814,0,0,0,0,0,0,0.0,1
48,48,2022-03-14T00:00:00,2950.0,2972.35,2917.3,2962.8,1214217,ASIANPAINT,236,3296.9,2599.35,52.10379184287868,48.24265882971355,0,0,0,0,0,0,0.0,1
49,49,2022-03-15T00:00:00,2998.0,3032.0,2966.0,2987.15,1857685,ASIANPAINT,236,3296.9,2599.35,55.594581033617665,51.7955702100208,0,0,0,0,0,0,0.0,1
50,50,2022-03-16T00:00:00,3043.0,3050.0,3010.75,3042.0,1287234,ASIANPAINT,236,3197.8,2599.35,73.96607903751355,60.55481730466997,0,0,0,0,0,0,0.0,1
51,51,2022-03-17T00:00:00,3113.5,3163.3,3076.5,3136.6,2867519,ASIANPAINT,236,3190.5,2599.35,90.88217880402604,73.48094629171909,1,0,0,0,0,0,0.0,1
52,52,2022-03-21T00:00:00,3117.3,3117.3,3030.1,3045.75,1259015,ASIANPAINT,236,3190.5,2599.35,75.5138289774169,80.12069560631885,0,1,0,0,0,0,-0.0,1
53,53,2022-03-22T00:00:00,3024.0,3062.7,2975.0,3051.15,1515772,ASIANPAINT,236,3163.3,2599.35,80.113485238053,82.16983100649865,1,1,0,0,1,0,-0.0,1
54,54,2022-03-23T00:00:00,3060.0,3079.9,3005.0,3016.8,948403,ASIANPAINT,236,3163.3,2599.35,74.02251972692616,76.54994464746537,0,0,0,0,0,0,-0.0,1
55,55,2022-03-24T00:00:00,2969.5,3038.95,2950.55,3025.35,1243917,ASIANPAINT,236,3163.3,2599.35,75.53861157904066,76.55820551467328,0,0,0,0,0,0,-0.0,1
56,56,2022-03-25T00:00:00,3025.35,3064.55,2991.0,3046.95,1083275,ASIANPAINT,236,3163.3,2599.35,79.36873836333002,76.30995655643228,0,0,0,0,0,0,0.0,1
57,57,2022-03-28T00:00:00,3046.95,3058.6,2995.65,3027.45,680332,ASIANPAINT,236,3163.3,2638.0,74.13858747382443,76.34864580539836,0,0,0,0,0,0,-0.0,1
58,58,2022-03-29T00:00:00,3069.0,3087.7,3012.7,3042.6,1120936,ASIANPAINT,236,3163.3,2665.05,75.77521324636221,76.42751302783888,0,0,0,0,0,0,-0.0,1
59,59,2022-03-30T00:00:00,3078.0,3094.35,3055.9,3081.55,849545,ASIANPAINT,236,3163.3,2882.35,70.90229578216768,73.60536550078479,0,0,0,0,0,0,-0.0,1
60,60,2022-03-31T00:00:00,3115.0,3129.25,3066.1,3079.95,1464862,ASIANPAINT,236,3163.3,2882.35,70.33279943050356,72.3367694863445,0,0,0,0,0,0,-0.0,1
61,61,2022-04-01T00:00:00,3110.0,3121.0,3087.65,3114.15,637392,ASIANPAINT,236,3163.3,2917.3,80.020325203252,73.75180680530775,1,0,0,0,0,0,0.0,1
62,62,2022-04-04T00:00:00,3124.95,3143.0,3093.5,3118.0,873264,ASIANPAINT,236,3163.3,2950.55,78.70740305522905,76.35350922966154,0,0,0,0,0,0,0.0,1
63,63,2022-04-05T00:00:00,3110.0,3157.0,3080.0,3140.8,805874,ASIANPAINT,236,3163.3,2950.55,89.42420681551117,82.71731169133075,1,1,0,0,1,0,0.0,1
64,64,2022-04-06T00:00:00,3137.0,3165.0,3113.0,3154.0,736379,ASIANPAINT,236,3165.0,2950.55,94.87059920727442,87.66740302600488,1,1,0,0,1,0,0.0,1
65,65,2022-04-07T00:00:00,3154.0,3208.95,3145.5,3155.0,1025244,ASIANPAINT,236,3208.95,2950.55,79.12151702786382,87.80544101688314,0,1,0,0,0,0,-0.0,1
66,66,2022-04-08T00:00:00,3168.0,3220.0,3151.2,3206.25,678898,ASIANPAINT,236,3220.0,2950.55,94.89701243273335,89.6297095559572,1,1,0,0,1,0,0.0,1
67,67,2022-04-11T00:00:00,3184.0,3222.0,3150.0,3157.45,672652,ASIANPAINT,236,3222.0,2950.55,76.22029839749486,83.412942619364,0,1,0,0,0,0,-0.0,1
68,68,2022-04-12T00:00:00,3154.7,3162.1,3114.15,3128.65,794265,ASIANPAINT,236,3222.0,2950.55,65.6106096887088,78.90930683964568,0,0,0,0,0,0,-0.0,1
69,69,2022-04-13T00:00:00,3117.2,3121.9,3066.1,3080.65,1121350,ASIANPAINT,236,3222.0,2991.0,38.809523809523846,60.213477298575846,0,0,0,0,0,0,-0.0,1
70,70,2022-04-18T00:00:00,3056.0,3058.0,3013.0,3021.55,1032504,ASIANPAINT,236,3222.0,2995.65,11.442456372873913,38.62086329036886,0,0,1,0,0,0,-0.0,1
